feature	chromosome	start	end	SLX-17922.D701tp_D504tp.HC22GBBXY.s_6.r_1	SLX-17922.D701tp_D506tp.HC22GBBXY.s_6.r_1	SLX-17921.D711tp_D502tp.H5J55BBXY.s_8.r_1	SLX-17921.D711tp_D503tp.H5J55BBXY.s_8.r_1
4:53000001-53500000	4	53000001	53500000	1.124	1.146	1.109	1.029
4:53500001-54000000	4	53500001	54000000	1.069	1.007	0.972	1.074
4:54000001-54500000	4	54000001	54500000	1.009	0.915	0.964	1.021
4:54500001-55000000	4	54500001	55000000	1	1.034	0.962	1.018
4:55500001-56000000	4	55500001	56000000	0.974	1.096	1.001	1
4:56000001-56500000	4	56000001	56500000	0.955	0.977	1.059	0.977
4:56500001-57000000	4	56500001	57000000	1.034	0.965	0.964	0.861
4:57000001-57500000	4	57000001	57500000	1.028	0.92	1.107	1
4:57500001-58000000	4	57500001	58000000	1.054	1.079	1.004	1.078
4:58000001-58500000	4	58000001	58500000	1.014	0.913	0.961	1.065
4:58500001-59000000	4	58500001	59000000	0.973	0.957	1.047	0.932
4:59000001-59500000	4	59000001	59500000	1.007	0.977	1.074	1.048
4:59500001-60000000	4	59500001	60000000	0.988	0.95	0.919	0.946
4:60000001-60500000	4	60000001	60500000	0.906	0.957	0.976	0.927
4:60500001-61000000	4	60500001	61000000	1.032	1.068	0.943	1.079
4:61000001-61500000	4	61000001	61500000	0.965	1.003	1.002	1.048
4:61500001-62000000	4	61500001	62000000	1.02	1.056	1.032	1.014
4:62000001-62500000	4	62000001	62500000	0.992	0.925	0.925	0.988
4:62500001-63000000	4	62500001	63000000	0.986	0.922	0.951	1.017
4:63000001-63500000	4	63000001	63500000	0.903	0.916	0.886	0.979
4:63500001-64000000	4	63500001	64000000	0.971	0.989	1.008	0.98
4:64000001-64500000	4	64000001	64500000	1.02	0.93	0.989	1.033
4:65000001-65500000	4	65000001	65500000	0.943	0.996	0.929	0.951
4:65500001-66000000	4	65500001	66000000	0.977	0.969	0.945	0.958
4:66500001-67000000	4	66500001	67000000	0.893	0.983	1.007	0.981
4:67000001-67500000	4	67000001	67500000	1.026	1.089	1.043	0.971
4:67500001-68000000	4	67500001	68000000	0.962	0.948	0.959	0.987
4:69500001-70000000	4	69500001	70000000	0.969	0.919	0.984	1.097
4:70000001-70500000	4	70000001	70500000	0.958	1.108	1.056	1.06
4:70500001-71000000	4	70500001	71000000	0.931	0.938	0.926	0.816
4:71000001-71500000	4	71000001	71500000	1.157	1.03	1.016	1.055
4:71500001-72000000	4	71500001	72000000	0.986	0.999	0.963	1.071
4:72000001-72500000	4	72000001	72500000	1.021	1.069	1.001	1.076
4:72500001-73000000	4	72500001	73000000	1.081	0.994	1.019	1.06
4:73000001-73500000	4	73000001	73500000	0.977	0.979	0.905	0.88
4:73500001-74000000	4	73500001	74000000	0.926	0.941	0.942	0.977
4:74000001-74500000	4	74000001	74500000	0.976	1.041	0.999	0.922
4:74500001-75000000	4	74500001	75000000	0.981	1.024	1.017	0.999
4:75500001-76000000	4	75500001	76000000	0.952	0.954	0.977	0.91
4:76000001-76500000	4	76000001	76500000	0.946	0.934	1.018	0.946
4:76500001-77000000	4	76500001	77000000	1.017	0.946	0.988	0.962
4:77000001-77500000	4	77000001	77500000	0.94	1.016	1.018	1.012
4:77500001-78000000	4	77500001	78000000	0.992	1.077	1.01	1.014
4:78500001-79000000	4	78500001	79000000	0.993	1.011	0.866	0.899
4:79000001-79500000	4	79000001	79500000	0.959	1.026	1.092	1.069
4:79500001-80000000	4	79500001	80000000	1.031	1.046	0.983	0.927
4:80000001-80500000	4	80000001	80500000	0.935	1.024	0.957	0.993
4:80500001-81000000	4	80500001	81000000	1.015	1.174	0.991	1.063
4:81000001-81500000	4	81000001	81500000	1.006	1.008	1.006	1.03
4:81500001-82000000	4	81500001	82000000	1.08	1.027	1.099	1.053
4:82000001-82500000	4	82000001	82500000	1.03	1.047	1.004	1.059
4:82500001-83000000	4	82500001	83000000	0.916	0.988	1.006	0.946
4:83500001-84000000	4	83500001	84000000	0.969	0.949	1.035	1.053
4:84000001-84500000	4	84000001	84500000	1.013	1.067	0.992	1.076
4:84500001-85000000	4	84500001	85000000	0.947	1.004	0.915	0.982
4:85000001-85500000	4	85000001	85500000	0.99	1.043	1.032	1.066
4:85500001-86000000	4	85500001	86000000	0.929	1.088	0.957	1.044
4:86000001-86500000	4	86000001	86500000	1.053	1.088	1.16	1.058
4:86500001-87000000	4	86500001	87000000	1.013	1.082	0.989	0.979
4:87000001-87500000	4	87000001	87500000	0.97	0.988	0.911	0.92
4:87500001-88000000	4	87500001	88000000	0.977	1.05	1.091	1.08
4:88000001-88500000	4	88000001	88500000	0.984	0.973	0.977	0.961
4:88500001-89000000	4	88500001	89000000	0.956	0.999	0.985	0.957
4:89000001-89500000	4	89000001	89500000	0.998	1.042	0.958	1.067
4:90000001-90500000	4	90000001	90500000	1.009	1.041	1.009	1.128
4:90500001-91000000	4	90500001	91000000	1.032	1.025	0.986	1.023
4:91000001-91500000	4	91000001	91500000	1.034	1.035	0.978	0.946
4:91500001-92000000	4	91500001	92000000	0.96	0.994	0.902	1.126
4:92000001-92500000	4	92000001	92500000	0.983	0.958	1.037	0.898
4:93000001-93500000	4	93000001	93500000	1.027	1.072	0.958	1.019
4:93500001-94000000	4	93500001	94000000	1.027	0.995	1.06	1.012
4:94000001-94500000	4	94000001	94500000	1.07	1.054	1.014	1.002
4:94500001-95000000	4	94500001	95000000	0.953	1.092	0.996	0.899
4:95000001-95500000	4	95000001	95500000	0.983	1.017	1.018	1.048
4:95500001-96000000	4	95500001	96000000	0.96	1.035	1.078	0.924
4:96000001-96500000	4	96000001	96500000	0.996	0.985	0.995	1.067
4:96500001-97000000	4	96500001	97000000	1.041	1.123	1.021	0.958
4:97000001-97500000	4	97000001	97500000	1.015	1.034	0.97	1.025
4:97500001-98000000	4	97500001	98000000	1.087	0.957	0.963	0.99
4:98000001-98500000	4	98000001	98500000	0.966	1.04	0.913	0.93
4:98500001-99000000	4	98500001	99000000	1.049	0.999	0.976	0.883
4:99000001-99500000	4	99000001	99500000	0.981	0.943	0.979	1.023
4:99500001-100000000	4	99500001	100000000	0.956	0.966	0.982	1.004
4:100000001-100500000	4	100000001	100500000	1.026	0.965	0.938	1.052
4:100500001-101000000	4	100500001	101000000	1.071	0.978	0.925	0.897
4:101000001-101500000	4	101000001	101500000	1.044	1.003	1.032	0.843
4:101500001-102000000	4	101500001	102000000	0.973	0.923	0.997	1.032
4:102000001-102500000	4	102000001	102500000	1.046	1.063	1.005	0.97
4:103000001-103500000	4	103000001	103500000	0.97	1.007	0.975	1.002
4:103500001-104000000	4	103500001	104000000	0.971	1.015	0.926	1.041
4:104000001-104500000	4	104000001	104500000	1.094	0.983	0.953	0.914
4:104500001-105000000	4	104500001	105000000	1.021	1.068	0.974	0.919
4:105000001-105500000	4	105000001	105500000	0.933	1.035	0.973	0.912
4:105500001-106000000	4	105500001	106000000	1.024	1.057	1.023	0.875
4:106000001-106500000	4	106000001	106500000	0.957	0.947	0.96	0.966
4:106500001-107000000	4	106500001	107000000	0.988	0.993	0.952	1.063
4:107000001-107500000	4	107000001	107500000	1.045	0.942	1.013	0.944
4:108000001-108500000	4	108000001	108500000	0.969	1.056	0.986	1.056
4:108500001-109000000	4	108500001	109000000	1.036	1.098	1.008	1.049
4:109000001-109500000	4	109000001	109500000	0.967	1.084	1.033	1.015
4:109500001-110000000	4	109500001	110000000	1.065	1.054	1.116	1.015
4:110000001-110500000	4	110000001	110500000	1.012	0.985	1.027	0.916
4:110500001-111000000	4	110500001	111000000	1.04	1.018	1.122	1.075
4:111000001-111500000	4	111000001	111500000	1.021	1.057	0.909	1.033
4:111500001-112000000	4	111500001	112000000	1.126	1.044	0.991	1.094
4:112500001-113000000	4	112500001	113000000	1.026	0.981	1.03	0.946
4:113000001-113500000	4	113000001	113500000	1.072	0.944	1.134	1.006
4:113500001-114000000	4	113500001	114000000	0.931	1.028	1.049	1.034
4:114000001-114500000	4	114000001	114500000	0.947	1.003	0.966	0.965
4:114500001-115000000	4	114500001	115000000	1.019	0.997	1.022	0.936
4:115000001-115500000	4	115000001	115500000	0.934	0.984	0.961	0.912
4:115500001-116000000	4	115500001	116000000	0.993	1.008	1.016	0.992
4:116500001-117000000	4	116500001	117000000	0.928	1.02	0.975	0.915
4:117000001-117500000	4	117000001	117500000	0.983	1.035	0.946	0.957
4:117500001-118000000	4	117500001	118000000	1.041	0.989	0.968	0.987
4:118000001-118500000	4	118000001	118500000	1.088	0.962	0.939	0.969
4:119500001-120000000	4	119500001	120000000	1.031	0.996	0.987	0.997
4:120000001-120500000	4	120000001	120500000	1.063	1.011	0.935	1.054
4:120500001-121000000	4	120500001	121000000	1.003	1.018	0.948	0.958
4:121000001-121500000	4	121000001	121500000	0.99	1.039	0.988	1.01
4:121500001-122000000	4	121500001	122000000	0.987	1.035	1.029	1.008
4:122000001-122500000	4	122000001	122500000	1.051	1.033	1	0.995
4:122500001-123000000	4	122500001	123000000	0.991	1.051	0.967	0.998
4:123000001-123500000	4	123000001	123500000	0.948	0.954	1.035	0.985
4:123500001-124000000	4	123500001	124000000	1.096	1.052	0.991	0.975
4:124000001-124500000	4	124000001	124500000	1.034	1.063	1.064	1.107
4:124500001-125000000	4	124500001	125000000	1.027	0.937	0.945	0.879
4:125000001-125500000	4	125000001	125500000	1.007	0.996	0.981	0.944
4:125500001-126000000	4	125500001	126000000	0.953	0.941	0.982	0.905
4:126000001-126500000	4	126000001	126500000	0.959	1.036	1.071	0.978
4:126500001-127000000	4	126500001	127000000	0.984	1.041	1.021	0.991
4:127000001-127500000	4	127000001	127500000	1.057	1.075	1.016	0.97
4:127500001-128000000	4	127500001	128000000	0.918	0.982	1	1.016
4:128500001-129000000	4	128500001	129000000	1.014	0.953	0.939	0.896
4:129000001-129500000	4	129000001	129500000	1.01	0.984	1.021	1.019
4:129500001-130000000	4	129500001	130000000	0.928	1.021	1.027	1.005
4:130000001-130500000	4	130000001	130500000	1	0.952	1.029	0.981
4:130500001-131000000	4	130500001	131000000	0.939	0.923	0.917	1.026
4:131000001-131500000	4	131000001	131500000	0.967	0.956	0.914	1.046
4:132000001-132500000	4	132000001	132500000	0.925	0.926	0.956	0.891
4:132500001-133000000	4	132500001	133000000	0.903	0.913	0.893	0.943
4:133000001-133500000	4	133000001	133500000	1.048	0.981	1	0.966
4:133500001-134000000	4	133500001	134000000	0.955	0.876	0.932	0.981
4:134000001-134500000	4	134000001	134500000	0.997	1.009	0.968	1.008
4:134500001-135000000	4	134500001	135000000	0.96	0.983	1.011	0.994
4:135000001-135500000	4	135000001	135500000	0.978	0.926	0.919	0.899
4:135500001-136000000	4	135500001	136000000	0.966	1.045	0.98	0.971
4:136000001-136500000	4	136000001	136500000	0.939	0.956	0.949	0.895
4:136500001-137000000	4	136500001	137000000	1.025	0.897	0.941	1.006
4:137000001-137500000	4	137000001	137500000	0.966	0.965	0.928	0.963
4:137500001-138000000	4	137500001	138000000	0.975	1.035	0.899	1.043
4:138000001-138500000	4	138000001	138500000	0.97	0.985	1.047	1.018
4:138500001-139000000	4	138500001	139000000	1.044	1.026	1.056	0.939
4:139000001-139500000	4	139000001	139500000	0.925	0.979	0.794	0.851
4:139500001-140000000	4	139500001	140000000	0.89	0.98	1.044	0.976
4:140000001-140500000	4	140000001	140500000	0.982	0.977	0.984	1.002
4:141000001-141500000	4	141000001	141500000	1.006	1.067	0.967	1.156
4:141500001-142000000	4	141500001	142000000	1.031	1.05	0.978	1.043
4:142000001-142500000	4	142000001	142500000	0.936	1.109	1.015	0.969
4:142500001-143000000	4	142500001	143000000	1.041	1.097	0.978	0.949
4:144500001-145000000	4	144500001	145000000	0.948	1.018	1.014	1.063
4:145000001-145500000	4	145000001	145500000	1.008	1.004	0.985	0.936
4:145500001-146000000	4	145500001	146000000	0.997	1.031	1.025	0.99
4:146000001-146500000	4	146000001	146500000	0.989	1.031	0.905	1.12
4:146500001-147000000	4	146500001	147000000	1.076	1.022	1.026	1.039
4:147000001-147500000	4	147000001	147500000	1.017	0.988	0.993	1.017
4:147500001-148000000	4	147500001	148000000	0.98	1.007	0.948	1.004
4:148000001-148500000	4	148000001	148500000	0.978	1.036	1.047	0.944
4:148500001-149000000	4	148500001	149000000	1.075	1.027	1.013	0.967
4:149000001-149500000	4	149000001	149500000	0.949	0.962	1.049	1.052
4:149500001-150000000	4	149500001	150000000	1.023	0.981	0.942	1.059
4:150000001-150500000	4	150000001	150500000	0.977	0.994	0.988	0.986
4:150500001-151000000	4	150500001	151000000	0.974	1.072	0.941	1.035
4:151000001-151500000	4	151000001	151500000	1.03	0.928	0.974	0.809
4:151500001-152000000	4	151500001	152000000	0.988	1.081	1.007	1.016
4:152000001-152500000	4	152000001	152500000	1.051	1.066	1.039	1.027
4:152500001-153000000	4	152500001	153000000	0.952	0.923	0.971	0.966
4:153000001-153500000	4	153000001	153500000	0.955	0.963	0.983	0.985
4:153500001-154000000	4	153500001	154000000	1.007	1.016	0.998	1.017
4:154000001-154500000	4	154000001	154500000	1.011	0.956	1.012	0.999
4:154500001-155000000	4	154500001	155000000	0.972	0.998	0.962	0.919
4:155500001-156000000	4	155500001	156000000	0.941	0.946	0.919	1.072
4:156000001-156500000	4	156000001	156500000	0.932	1.081	0.92	0.934
4:156500001-157000000	4	156500001	157000000	0.994	1.087	0.986	1.039
4:157000001-157500000	4	157000001	157500000	1.028	1.015	1.062	1.13
4:158000001-158500000	4	158000001	158500000	1.01	1.005	0.924	1.007
4:158500001-159000000	4	158500001	159000000	1.028	1.007	0.953	0.885
4:159000001-159500000	4	159000001	159500000	0.874	0.987	1.045	0.891
4:159500001-160000000	4	159500001	160000000	0.976	0.963	0.943	1.077
4:160500001-161000000	4	160500001	161000000	1.022	0.993	0.914	0.952
4:162500001-163000000	4	162500001	163000000	1.017	1.034	0.89	0.961
4:163000001-163500000	4	163000001	163500000	1.023	1.052	1.02	0.924
4:163500001-164000000	4	163500001	164000000	1.027	0.981	0.912	1.002
4:164000001-164500000	4	164000001	164500000	1.052	0.967	0.992	1.057
4:164500001-165000000	4	164500001	165000000	1.024	0.977	0.98	1.122
4:165000001-165500000	4	165000001	165500000	0.884	0.955	0.858	0.922
4:165500001-166000000	4	165500001	166000000	0.956	1.017	1.061	0.964
4:166000001-166500000	4	166000001	166500000	1.019	0.98	0.95	0.988
4:166500001-167000000	4	166500001	167000000	0.999	1.03	1.078	0.964
4:167000001-167500000	4	167000001	167500000	1.054	1.047	0.939	1.014
4:167500001-168000000	4	167500001	168000000	0.948	0.916	0.95	1.059
4:168000001-168500000	4	168000001	168500000	0.936	0.999	0.928	0.937
4:168500001-169000000	4	168500001	169000000	1.017	0.977	0.931	0.913
4:169000001-169500000	4	169000001	169500000	1.008	1.049	0.975	0.92
4:169500001-170000000	4	169500001	170000000	0.957	0.939	0.953	0.86
4:170000001-170500000	4	170000001	170500000	1.067	1.046	1.06	1
4:170500001-171000000	4	170500001	171000000	0.973	0.937	0.983	1.037
4:171000001-171500000	4	171000001	171500000	0.974	1.065	0.952	1.033
4:171500001-172000000	4	171500001	172000000	1.035	1.069	0.987	1.011
4:172500001-173000000	4	172500001	173000000	0.979	0.948	0.882	1.007
4:173000001-173500000	4	173000001	173500000	0.988	0.924	0.839	0.882
4:173500001-174000000	4	173500001	174000000	0.971	0.93	1.004	1.011
4:174000001-174500000	4	174000001	174500000	0.984	1.002	1.05	1.001
4:174500001-175000000	4	174500001	175000000	0.97	0.998	0.934	0.966
4:175000001-175500000	4	175000001	175500000	0.991	0.861	0.986	0.954
4:175500001-176000000	4	175500001	176000000	0.953	1.021	0.904	0.927
4:176000001-176500000	4	176000001	176500000	0.966	0.936	0.883	1.083
4:176500001-177000000	4	176500001	177000000	1.03	1.037	0.968	0.985
4:177000001-177500000	4	177000001	177500000	1.02	0.979	1.031	0.958
4:177500001-178000000	4	177500001	178000000	1.068	1.006	1.052	0.947
4:178000001-178500000	4	178000001	178500000	0.95	0.926	1.002	0.933
4:178500001-179000000	4	178500001	179000000	1.055	0.999	0.975	0.996
4:179500001-180000000	4	179500001	180000000	0.949	1.026	0.997	0.939
4:180000001-180500000	4	180000001	180500000	1.002	1.012	0.984	1.116
4:180500001-181000000	4	180500001	181000000	0.941	1.047	0.888	1.022
4:181000001-181500000	4	181000001	181500000	0.956	0.988	0.944	0.968
4:181500001-182000000	4	181500001	182000000	0.98	1.023	0.992	0.911
4:182000001-182500000	4	182000001	182500000	0.985	0.947	0.87	0.859
4:182500001-183000000	4	182500001	183000000	0.972	0.985	0.912	0.958
4:183500001-184000000	4	183500001	184000000	0.948	1.081	0.967	1.002
4:184000001-184500000	4	184000001	184500000	0.979	0.954	0.913	1.039
4:184500001-185000000	4	184500001	185000000	0.927	0.903	0.938	0.957
4:185000001-185500000	4	185000001	185500000	0.952	0.973	0.925	0.973
4:185500001-186000000	4	185500001	186000000	0.962	1.023	1.013	0.952
4:186000001-186500000	4	186000001	186500000	0.955	0.963	0.954	1.054
4:186500001-187000000	4	186500001	187000000	1.005	0.979	0.968	0.971
4:187000001-187500000	4	187000001	187500000	0.91	0.919	0.967	0.995
4:187500001-188000000	4	187500001	188000000	0.922	0.942	0.839	0.904
4:188500001-189000000	4	188500001	189000000	0.946	0.9	0.978	0.939
4:189000001-189500000	4	189000001	189500000	0.979	0.897	0.941	1.13
5:500001-1000000	5	500001	1000000	0.969	0.972	1.129	1.029
5:1000001-1500000	5	1000001	1500000	0.967	1.051	1.003	0.908
5:1500001-2000000	5	1500001	2000000	1.09	0.993	1.05	1.058
5:2000001-2500000	5	2000001	2500000	0.98	0.989	0.941	0.973
5:2500001-3000000	5	2500001	3000000	0.947	0.967	0.905	0.907
5:3000001-3500000	5	3000001	3500000	0.906	0.9	0.992	1.007
5:4000001-4500000	5	4000001	4500000	0.959	0.977	0.992	1.005
5:4500001-5000000	5	4500001	5000000	0.981	0.983	1.049	0.983
5:5500001-6000000	5	5500001	6000000	1.027	0.912	0.942	0.956
5:6000001-6500000	5	6000001	6500000	0.992	0.986	1.013	1.006
5:6500001-7000000	5	6500001	7000000	0.994	0.961	1.015	1.006
5:7000001-7500000	5	7000001	7500000	1.11	0.983	1.028	1.031
5:7500001-8000000	5	7500001	8000000	1.027	0.964	0.953	0.888
5:8000001-8500000	5	8000001	8500000	0.989	0.9	1.036	1.051
5:9000001-9500000	5	9000001	9500000	1.078	0.986	1.033	1.091
5:9500001-10000000	5	9500001	10000000	1.05	1.007	1.049	1.173
5:10000001-10500000	5	10000001	10500000	0.968	0.952	1.008	0.994
5:10500001-11000000	5	10500001	11000000	0.981	0.992	0.952	1.017
5:11000001-11500000	5	11000001	11500000	1.04	1.05	0.998	1.023
5:11500001-12000000	5	11500001	12000000	1.018	1.021	1.052	0.974
5:12000001-12500000	5	12000001	12500000	0.999	1.017	0.997	0.979
5:12500001-13000000	5	12500001	13000000	0.981	0.939	1.033	0.99
5:13000001-13500000	5	13000001	13500000	0.925	0.944	0.984	1.008
5:13500001-14000000	5	13500001	14000000	1.02	0.993	0.93	0.916
5:14000001-14500000	5	14000001	14500000	1.008	0.967	0.901	0.937
5:14500001-15000000	5	14500001	15000000	0.988	0.93	0.933	0.937
5:15000001-15500000	5	15000001	15500000	1.007	0.975	1.083	1.022
5:15500001-16000000	5	15500001	16000000	0.981	0.93	1.052	0.943
5:16000001-16500000	5	16000001	16500000	1.145	1.002	1.019	1.009
5:16500001-17000000	5	16500001	17000000	1.028	1.078	0.939	0.917
5:17000001-17500000	5	17000001	17500000	0.977	0.97	0.931	0.966
5:17500001-18000000	5	17500001	18000000	0.988	0.967	1.006	1.019
5:18000001-18500000	5	18000001	18500000	0.973	0.983	0.993	0.934
5:18500001-19000000	5	18500001	19000000	1.035	0.912	0.884	0.916
5:19000001-19500000	5	19000001	19500000	0.881	0.938	0.955	0.917
5:19500001-20000000	5	19500001	20000000	0.964	0.98	0.854	0.996
5:20000001-20500000	5	20000001	20500000	1.07	1.007	0.975	0.935
5:21500001-22000000	5	21500001	22000000	0.958	0.956	0.881	0.983
5:22000001-22500000	5	22000001	22500000	0.952	0.929	0.908	0.905
5:22500001-23000000	5	22500001	23000000	0.977	1.021	1.045	1.045
5:23000001-23500000	5	23000001	23500000	0.897	0.949	0.938	0.973
5:23500001-24000000	5	23500001	24000000	0.963	0.892	0.909	0.884
5:24000001-24500000	5	24000001	24500000	0.951	0.994	0.875	0.896
5:24500001-25000000	5	24500001	25000000	1.008	1.017	1.057	0.963
5:25000001-25500000	5	25000001	25500000	1.029	0.945	0.975	1.041
5:25500001-26000000	5	25500001	26000000	0.93	0.997	0.955	0.858
5:26000001-26500000	5	26000001	26500000	0.975	0.922	0.906	0.927
5:26500001-27000000	5	26500001	27000000	0.945	0.963	1.023	1.058
5:27000001-27500000	5	27000001	27500000	1.029	1.039	0.995	0.973
5:27500001-28000000	5	27500001	28000000	0.989	0.929	0.884	0.953
5:28000001-28500000	5	28000001	28500000	0.902	0.97	0.944	1.003
5:28500001-29000000	5	28500001	29000000	0.981	0.992	0.983	1.038
5:29000001-29500000	5	29000001	29500000	1.083	0.995	0.993	1.012
5:29500001-30000000	5	29500001	30000000	0.935	0.97	0.94	0.99
5:30000001-30500000	5	30000001	30500000	1.06	0.947	1.043	1.051
5:30500001-31000000	5	30500001	31000000	1.017	1.038	1.143	1.043
5:31000001-31500000	5	31000001	31500000	0.939	0.949	0.948	1.094
5:31500001-32000000	5	31500001	32000000	1.062	0.981	1.09	1.09
5:32000001-32500000	5	32000001	32500000	0.929	0.995	0.908	0.932
5:33000001-33500000	5	33000001	33500000	0.955	1.031	0.944	0.985
5:33500001-34000000	5	33500001	34000000	1.021	1.021	1.016	1.061
5:34500001-35000000	5	34500001	35000000	1.035	1.028	0.909	0.969
5:35000001-35500000	5	35000001	35500000	0.988	1.038	0.988	0.987
5:35500001-36000000	5	35500001	36000000	1.009	1.037	1.059	1.051
5:36000001-36500000	5	36000001	36500000	1.029	1.021	1.016	1.011
