feature	chromosome	start	end	SLX-17921.D703tp_D508tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D501tp.H5J55BBXY.s_8.r_1	SLX-17921.D704tp_D502tp.H5J55BBXY.s_8.r_1	SLX-16150.D705tp_D501tp.HC22VBBXY.s_3.r_1
12:76000001-76500000	12	76000001	76500000	0.961	0.907	0.962	0.966
12:76500001-77000000	12	76500001	77000000	1.085	1.047	0.982	0.94
12:77000001-77500000	12	77000001	77500000	1.033	1.006	1.074	0.956
12:77500001-78000000	12	77500001	78000000	0.954	0.973	1.033	1.069
12:78000001-78500000	12	78000001	78500000	1.003	1.103	1.046	1.028
12:78500001-79000000	12	78500001	79000000	1.038	1.054	0.971	0.901
12:79000001-79500000	12	79000001	79500000	1.01	1.061	1.06	0.895
12:79500001-80000000	12	79500001	80000000	1.051	1.019	1.014	0.971
12:80000001-80500000	12	80000001	80500000	1.156	1.062	1.09	1.066
12:81000001-81500000	12	81000001	81500000	1.013	0.977	0.949	0.937
12:81500001-82000000	12	81500001	82000000	0.937	0.938	1.005	0.927
12:82000001-82500000	12	82000001	82500000	1.024	0.989	0.938	0.857
12:82500001-83000000	12	82500001	83000000	1.032	1.015	1.02	1.086
12:83000001-83500000	12	83000001	83500000	0.882	0.966	0.983	0.886
12:83500001-84000000	12	83500001	84000000	1.059	1.071	1.028	1.041
12:84000001-84500000	12	84000001	84500000	1.026	0.9	0.963	0.971
12:84500001-85000000	12	84500001	85000000	0.968	0.976	0.988	0.944
12:85000001-85500000	12	85000001	85500000	1.119	1.076	1.096	1.003
12:85500001-86000000	12	85500001	86000000	1.05	0.992	1.008	0.863
12:86000001-86500000	12	86000001	86500000	0.987	0.971	0.902	0.895
12:86500001-87000000	12	86500001	87000000	1.038	1.102	1.035	0.894
12:87000001-87500000	12	87000001	87500000	1.051	0.955	0.92	0.96
12:87500001-88000000	12	87500001	88000000	1.083	1.028	0.995	1.007
12:88000001-88500000	12	88000001	88500000	0.983	0.971	0.958	0.966
12:88500001-89000000	12	88500001	89000000	0.953	1.006	1.025	1.016
12:89000001-89500000	12	89000001	89500000	0.916	1.046	1.001	0.856
12:89500001-90000000	12	89500001	90000000	0.947	0.979	0.999	0.967
12:90000001-90500000	12	90000001	90500000	1.03	1.102	1.015	1.002
12:90500001-91000000	12	90500001	91000000	1.008	1.01	1.01	1.037
12:91000001-91500000	12	91000001	91500000	1.02	1.053	1.106	1.001
12:91500001-92000000	12	91500001	92000000	0.993	1.05	0.986	0.92
12:92000001-92500000	12	92000001	92500000	0.941	0.981	0.999	0.922
12:92500001-93000000	12	92500001	93000000	1.019	1.06	1.013	0.857
12:93000001-93500000	12	93000001	93500000	1.002	1.019	0.929	0.892
12:93500001-94000000	12	93500001	94000000	1.006	0.968	1.023	0.992
12:94000001-94500000	12	94000001	94500000	1.018	1.033	1.032	0.903
12:94500001-95000000	12	94500001	95000000	1.046	1.015	1.013	0.972
12:95000001-95500000	12	95000001	95500000	0.976	0.843	1.002	0.773
12:95500001-96000000	12	95500001	96000000	1.033	1.016	0.98	0.968
12:96000001-96500000	12	96000001	96500000	0.971	0.996	0.876	0.853
12:96500001-97000000	12	96500001	97000000	1.073	1.065	1.022	1
12:97000001-97500000	12	97000001	97500000	0.969	1.051	1.045	0.932
12:97500001-98000000	12	97500001	98000000	1.032	1.011	0.985	1.007
12:98000001-98500000	12	98000001	98500000	0.986	1.049	1.039	1.034
12:98500001-99000000	12	98500001	99000000	0.988	1.018	1.027	0.947
12:99000001-99500000	12	99000001	99500000	1.014	0.963	1.022	0.939
12:99500001-100000000	12	99500001	100000000	0.951	0.934	0.959	0.944
12:100000001-100500000	12	100000001	100500000	0.971	1.016	0.885	0.958
12:100500001-101000000	12	100500001	101000000	1.1	0.982	1.136	0.985
12:101500001-102000000	12	101500001	102000000	0.959	0.903	1.022	0.953
12:102000001-102500000	12	102000001	102500000	1.078	1.085	1.065	0.938
12:102500001-103000000	12	102500001	103000000	1.021	1.102	1.092	0.94
12:103000001-103500000	12	103000001	103500000	1.043	1.005	1.063	1.055
12:103500001-104000000	12	103500001	104000000	0.962	0.953	0.952	1.017
12:104000001-104500000	12	104000001	104500000	1.006	1.013	0.983	0.901
12:104500001-105000000	12	104500001	105000000	1.045	1.088	0.992	0.944
12:105000001-105500000	12	105000001	105500000	0.931	1.09	0.991	0.979
12:105500001-106000000	12	105500001	106000000	1.078	1.018	1.095	0.979
12:106000001-106500000	12	106000001	106500000	1.1	1.056	0.983	0.934
12:106500001-107000000	12	106500001	107000000	0.967	1.068	1.085	1.031
12:107000001-107500000	12	107000001	107500000	1.105	0.952	1.093	1.024
12:107500001-108000000	12	107500001	108000000	1.009	1.041	1.063	0.825
12:108000001-108500000	12	108000001	108500000	1.009	1.009	0.983	0.996
12:108500001-109000000	12	108500001	109000000	0.85	0.935	0.948	0.979
12:109000001-109500000	12	109000001	109500000	1.032	1.036	1.024	0.866
12:109500001-110000000	12	109500001	110000000	1.012	0.882	0.978	0.929
12:110000001-110500000	12	110000001	110500000	0.966	0.962	0.992	0.779
12:110500001-111000000	12	110500001	111000000	1.021	1.01	1.027	0.872
12:111000001-111500000	12	111000001	111500000	1.028	1.048	1.033	0.961
12:111500001-112000000	12	111500001	112000000	0.987	1.091	1.028	0.866
12:112000001-112500000	12	112000001	112500000	0.987	0.979	1.022	0.871
12:112500001-113000000	12	112500001	113000000	1.087	1.104	1.095	1.044
12:113000001-113500000	12	113000001	113500000	1.003	0.899	0.974	0.958
12:113500001-114000000	12	113500001	114000000	0.972	0.998	1.048	1.008
12:114000001-114500000	12	114000001	114500000	1.034	1.037	1.055	1.069
12:114500001-115000000	12	114500001	115000000	1.082	0.93	0.933	0.881
12:115000001-115500000	12	115000001	115500000	0.973	1.088	1.063	0.99
12:115500001-116000000	12	115500001	116000000	0.942	0.994	0.993	1.057
12:116000001-116500000	12	116000001	116500000	0.911	1.023	0.935	0.8
12:116500001-117000000	12	116500001	117000000	0.956	0.936	0.993	0.983
12:117000001-117500000	12	117000001	117500000	1.011	1.004	0.918	1.082
12:117500001-118000000	12	117500001	118000000	0.992	1.068	0.974	1.016
12:118000001-118500000	12	118000001	118500000	0.967	0.997	0.877	0.909
12:118500001-119000000	12	118500001	119000000	1.048	1.085	1.146	1.047
12:119000001-119500000	12	119000001	119500000	1.073	1.144	0.991	1.047
12:119500001-120000000	12	119500001	120000000	1.026	1.079	1.006	0.935
12:120000001-120500000	12	120000001	120500000	0.962	0.962	1.013	0.872
12:120500001-121000000	12	120500001	121000000	0.998	0.956	0.997	1.003
12:121000001-121500000	12	121000001	121500000	0.992	0.871	1.024	0.794
12:121500001-122000000	12	121500001	122000000	0.92	1.049	1.003	0.915
12:122000001-122500000	12	122000001	122500000	0.991	0.901	0.946	0.791
12:122500001-123000000	12	122500001	123000000	1.047	0.989	0.955	0.903
12:123500001-124000000	12	123500001	124000000	1.011	1.033	0.969	0.913
12:124000001-124500000	12	124000001	124500000	1.059	0.947	1.063	0.903
12:124500001-125000000	12	124500001	125000000	1.035	0.864	0.945	0.968
12:125000001-125500000	12	125000001	125500000	1.032	1.081	1.116	0.969
12:125500001-126000000	12	125500001	126000000	0.982	1.045	0.997	0.94
12:126000001-126500000	12	126000001	126500000	1.025	1.057	0.96	1.038
12:127000001-127500000	12	127000001	127500000	1.018	0.938	1.012	0.999
12:127500001-128000000	12	127500001	128000000	0.938	1.004	0.94	0.956
12:128000001-128500000	12	128000001	128500000	1.005	1.044	0.999	0.965
12:128500001-129000000	12	128500001	129000000	1.032	0.946	0.962	0.891
12:129000001-129500000	12	129000001	129500000	1.043	1.088	1.115	1.075
12:129500001-130000000	12	129500001	130000000	1.019	0.974	0.969	1.035
12:130500001-131000000	12	130500001	131000000	0.964	0.857	1.065	0.871
12:131000001-131500000	12	131000001	131500000	0.944	1.065	1.011	0.999
12:131500001-132000000	12	131500001	132000000	1.051	0.972	0.983	0.947
12:132000001-132500000	12	132000001	132500000	1.041	0.952	1.056	1.007
12:132500001-133000000	12	132500001	133000000	0.947	0.909	0.998	0.894
12:133000001-133275309	12	133000001	133275309	0.844	0.92	0.875	0.817
13:20000001-20500000	13	20000001	20500000	0.873	1.015	0.964	0.858
13:20500001-21000000	13	20500001	21000000	0.911	0.854	0.845	0.833
13:21500001-22000000	13	21500001	22000000	1.033	0.95	1.098	1.082
13:22000001-22500000	13	22000001	22500000	0.924	0.996	1.031	0.935
13:22500001-23000000	13	22500001	23000000	0.967	0.874	1.021	1.037
13:23000001-23500000	13	23000001	23500000	0.963	1.008	0.989	0.892
13:23500001-24000000	13	23500001	24000000	0.922	1.025	0.99	0.958
13:24000001-24500000	13	24000001	24500000	1.009	0.956	0.951	0.868
13:24500001-25000000	13	24500001	25000000	0.946	0.991	1.061	1.06
13:25000001-25500000	13	25000001	25500000	1.041	0.913	1.041	0.926
13:26000001-26500000	13	26000001	26500000	0.898	0.896	0.899	0.963
13:26500001-27000000	13	26500001	27000000	0.946	0.916	0.979	1.056
13:27000001-27500000	13	27000001	27500000	0.865	0.955	0.944	0.923
13:27500001-28000000	13	27500001	28000000	0.942	1.007	0.951	1.028
13:28000001-28500000	13	28000001	28500000	0.952	0.954	0.958	0.908
13:28500001-29000000	13	28500001	29000000	0.933	1.03	0.984	0.903
13:29000001-29500000	13	29000001	29500000	1.02	0.928	1.014	1.028
13:29500001-30000000	13	29500001	30000000	0.972	1.04	0.934	0.969
13:30000001-30500000	13	30000001	30500000	0.893	0.985	1.049	1.032
13:30500001-31000000	13	30500001	31000000	0.954	1.03	1.027	1.035
13:31000001-31500000	13	31000001	31500000	1.024	1.034	1	0.965
13:32000001-32500000	13	32000001	32500000	1.007	1.053	1.002	0.989
13:32500001-33000000	13	32500001	33000000	0.995	0.959	1.002	0.975
13:33000001-33500000	13	33000001	33500000	1.009	0.976	0.952	1.044
13:34000001-34500000	13	34000001	34500000	0.974	1.078	0.97	0.994
13:34500001-35000000	13	34500001	35000000	0.955	1.017	1.038	1.021
13:35000001-35500000	13	35000001	35500000	1.042	1.12	1.092	0.945
13:35500001-36000000	13	35500001	36000000	0.923	0.965	0.957	1.025
13:36500001-37000000	13	36500001	37000000	0.987	0.998	0.993	1
13:37000001-37500000	13	37000001	37500000	0.865	0.992	0.926	1.076
13:37500001-38000000	13	37500001	38000000	1.011	1.005	0.96	1.056
13:38000001-38500000	13	38000001	38500000	0.96	1.051	0.922	0.985
13:38500001-39000000	13	38500001	39000000	0.94	0.949	0.931	0.988
13:39000001-39500000	13	39000001	39500000	0.938	1.015	0.957	0.963
13:39500001-40000000	13	39500001	40000000	1.035	1.056	1.058	0.967
13:40000001-40500000	13	40000001	40500000	1.061	1.06	1.044	0.994
13:41000001-41500000	13	41000001	41500000	0.839	0.978	0.916	1.013
13:41500001-42000000	13	41500001	42000000	0.989	1.002	0.944	0.856
13:42000001-42500000	13	42000001	42500000	0.952	1.087	0.969	1.007
13:42500001-43000000	13	42500001	43000000	0.948	1.088	0.957	1.056
13:43000001-43500000	13	43000001	43500000	1.003	0.973	0.984	1.025
13:43500001-44000000	13	43500001	44000000	1.034	1.051	1.098	1.02
13:44000001-44500000	13	44000001	44500000	0.921	1.048	0.96	0.98
13:44500001-45000000	13	44500001	45000000	0.904	1.064	1.05	1.052
13:45000001-45500000	13	45000001	45500000	0.927	1.001	1.004	0.924
13:45500001-46000000	13	45500001	46000000	1.034	1.094	1.093	1.151
13:46000001-46500000	13	46000001	46500000	0.982	0.998	1.008	1.012
13:46500001-47000000	13	46500001	47000000	0.968	0.946	0.939	1.002
13:47000001-47500000	13	47000001	47500000	0.985	1.068	1.072	0.985
13:47500001-48000000	13	47500001	48000000	0.992	1.013	1.022	1.046
13:48000001-48500000	13	48000001	48500000	1.018	0.948	0.935	0.919
13:48500001-49000000	13	48500001	49000000	0.971	1.011	1.013	0.981
13:49000001-49500000	13	49000001	49500000	0.972	0.909	1.029	0.903
13:49500001-50000000	13	49500001	50000000	0.838	0.915	0.989	0.966
13:50000001-50500000	13	50000001	50500000	0.963	0.946	0.918	0.876
13:50500001-51000000	13	50500001	51000000	0.975	0.989	0.972	0.924
13:51000001-51500000	13	51000001	51500000	1.022	1.069	0.994	1.086
13:51500001-52000000	13	51500001	52000000	1.029	1.06	1.107	0.937
13:52500001-53000000	13	52500001	53000000	1.01	1.169	0.915	1.079
13:53000001-53500000	13	53000001	53500000	0.963	0.971	1.01	1.061
13:54000001-54500000	13	54000001	54500000	0.867	0.927	0.946	0.913
13:54500001-55000000	13	54500001	55000000	0.835	1.027	1.001	0.902
13:55000001-55500000	13	55000001	55500000	0.976	1.079	0.988	1.054
13:56000001-56500000	13	56000001	56500000	0.847	1.054	1.034	0.92
13:57000001-57500000	13	57000001	57500000	0.936	0.95	0.931	1.029
13:57500001-58000000	13	57500001	58000000	1.001	0.9	1.025	0.993
13:58000001-58500000	13	58000001	58500000	0.956	0.964	1.015	1.121
13:58500001-59000000	13	58500001	59000000	1.01	0.944	1.028	0.931
13:59000001-59500000	13	59000001	59500000	1.032	1.003	1.043	0.915
13:59500001-60000000	13	59500001	60000000	1	1.031	1.029	0.894
13:60000001-60500000	13	60000001	60500000	0.999	0.913	1.038	1.002
13:60500001-61000000	13	60500001	61000000	0.958	0.939	1.062	1.005
13:61000001-61500000	13	61000001	61500000	0.886	0.997	0.994	1.072
13:61500001-62000000	13	61500001	62000000	1	0.992	0.935	1.09
13:62000001-62500000	13	62000001	62500000	0.871	1.041	0.898	0.969
13:62500001-63000000	13	62500001	63000000	0.917	0.901	0.82	1.152
13:63000001-63500000	13	63000001	63500000	0.907	0.926	0.932	0.974
13:63500001-64000000	13	63500001	64000000	0.955	0.852	0.87	1.066
13:64000001-64500000	13	64000001	64500000	0.905	0.921	0.932	1.005
13:64500001-65000000	13	64500001	65000000	0.978	1.036	1.011	1.027
13:65000001-65500000	13	65000001	65500000	1.036	1.038	0.943	1.092
13:65500001-66000000	13	65500001	66000000	0.996	0.932	0.966	1.043
13:66000001-66500000	13	66000001	66500000	1.018	1.004	0.973	1.09
13:66500001-67000000	13	66500001	67000000	1.003	1.121	1.096	1.067
13:67000001-67500000	13	67000001	67500000	1.057	0.951	0.997	1.121
13:67500001-68000000	13	67500001	68000000	0.998	1.071	1.04	1.122
13:68000001-68500000	13	68000001	68500000	0.968	0.992	0.921	1.024
13:68500001-69000000	13	68500001	69000000	0.993	0.958	1.028	1.171
13:69000001-69500000	13	69000001	69500000	1.004	0.977	0.961	1.055
13:69500001-70000000	13	69500001	70000000	0.893	0.868	0.971	1.007
13:70000001-70500000	13	70000001	70500000	0.973	0.89	0.95	1.087
13:70500001-71000000	13	70500001	71000000	1.001	1.053	1.123	0.947
13:71000001-71500000	13	71000001	71500000	1.012	1.106	0.95	1.033
13:71500001-72000000	13	71500001	72000000	1.053	1.106	1.067	0.99
13:72500001-73000000	13	72500001	73000000	0.878	0.953	1.027	0.953
13:73000001-73500000	13	73000001	73500000	0.908	0.908	1.011	1.026
13:73500001-74000000	13	73500001	74000000	1.044	1.018	1.16	0.887
13:74000001-74500000	13	74000001	74500000	0.967	0.939	0.94	0.991
13:74500001-75000000	13	74500001	75000000	0.983	1.105	1.08	1.024
13:75000001-75500000	13	75000001	75500000	1.04	1.043	1.035	0.928
13:76000001-76500000	13	76000001	76500000	0.961	0.999	0.981	1.037
13:76500001-77000000	13	76500001	77000000	0.932	1.062	1.098	0.94
13:77000001-77500000	13	77000001	77500000	0.923	0.887	0.979	0.959
13:77500001-78000000	13	77500001	78000000	1.08	1.074	0.994	1.122
13:78000001-78500000	13	78000001	78500000	0.963	1.016	0.977	1.041
13:78500001-79000000	13	78500001	79000000	1.068	0.99	1.051	0.932
13:79000001-79500000	13	79000001	79500000	0.925	0.957	1.036	0.95
13:79500001-80000000	13	79500001	80000000	1.047	1.037	0.952	0.918
13:80000001-80500000	13	80000001	80500000	0.92	0.975	0.965	1.098
13:80500001-81000000	13	80500001	81000000	1.006	0.982	1.038	0.983
13:81000001-81500000	13	81000001	81500000	0.916	0.97	1.034	1.021
13:81500001-82000000	13	81500001	82000000	0.971	0.848	0.939	1.033
13:82000001-82500000	13	82000001	82500000	0.911	1.054	0.967	0.955
13:82500001-83000000	13	82500001	83000000	0.948	1.061	0.883	0.975
13:83000001-83500000	13	83000001	83500000	0.878	1.063	1.049	0.94
13:84000001-84500000	13	84000001	84500000	0.994	0.949	0.959	1.043
13:85000001-85500000	13	85000001	85500000	0.915	0.963	0.871	0.877
13:85500001-86000000	13	85500001	86000000	0.946	1.001	0.964	1.094
13:86000001-86500000	13	86000001	86500000	0.903	0.959	0.877	0.966
13:86500001-87000000	13	86500001	87000000	0.975	0.908	0.913	1.021
13:87000001-87500000	13	87000001	87500000	1.067	0.996	0.988	1.026
13:87500001-88000000	13	87500001	88000000	0.906	0.955	0.974	1.028
13:88500001-89000000	13	88500001	89000000	0.942	0.971	0.935	0.995
13:89000001-89500000	13	89000001	89500000	0.928	1.034	1.001	0.955
13:89500001-90000000	13	89500001	90000000	0.89	0.933	0.989	0.914
13:90000001-90500000	13	90000001	90500000	0.905	1.036	0.896	0.953
13:90500001-91000000	13	90500001	91000000	1.022	1.044	1.072	1.023
13:91000001-91500000	13	91000001	91500000	1.012	0.939	1.021	0.945
13:91500001-92000000	13	91500001	92000000	0.936	1.124	0.911	0.989
13:92000001-92500000	13	92000001	92500000	0.991	1.042	0.978	1.083
13:92500001-93000000	13	92500001	93000000	0.973	1.026	1.011	1.057
13:93000001-93500000	13	93000001	93500000	0.921	0.969	0.891	1.062
13:93500001-94000000	13	93500001	94000000	0.933	0.882	1	0.926
13:94000001-94500000	13	94000001	94500000	1.01	1.015	1.058	0.939
13:94500001-95000000	13	94500001	95000000	1.009	1.033	0.957	1.034
13:95000001-95500000	13	95000001	95500000	0.937	0.897	1.016	1.075
13:96000001-96500000	13	96000001	96500000	0.986	1.017	1.051	0.977
13:96500001-97000000	13	96500001	97000000	0.948	1.046	1.022	1.113
13:97000001-97500000	13	97000001	97500000	1.018	0.979	1.06	0.971
13:97500001-98000000	13	97500001	98000000	0.991	1.088	1.05	0.952
13:98000001-98500000	13	98000001	98500000	0.949	1.013	0.956	0.97
13:98500001-99000000	13	98500001	99000000	0.935	0.914	0.966	0.895
13:99000001-99500000	13	99000001	99500000	0.891	0.91	0.981	1.044
13:99500001-100000000	13	99500001	100000000	0.952	0.904	0.92	1.125
13:100000001-100500000	13	100000001	100500000	0.987	0.91	0.975	0.974
13:100500001-101000000	13	100500001	101000000	0.931	1.041	0.92	1.03
13:101000001-101500000	13	101000001	101500000	1.025	0.949	1.027	0.981
13:101500001-102000000	13	101500001	102000000	1.002	1.029	1.095	1.018
13:102000001-102500000	13	102000001	102500000	0.948	0.922	1.039	1.09
13:102500001-103000000	13	102500001	103000000	0.913	0.972	1.013	0.936
13:103000001-103500000	13	103000001	103500000	0.941	1.017	1.072	1.126
13:103500001-104000000	13	103500001	104000000	1.055	0.999	0.948	1.011
13:104000001-104500000	13	104000001	104500000	0.928	1.067	0.899	1.079
13:104500001-105000000	13	104500001	105000000	0.926	1.034	0.968	1.022
13:105500001-106000000	13	105500001	106000000	0.958	1.047	1.005	0.998
13:106000001-106500000	13	106000001	106500000	1.007	1.027	0.936	1.021
13:106500001-107000000	13	106500001	107000000	0.979	1.004	0.991	1.102
13:107500001-108000000	13	107500001	108000000	0.996	0.936	1.02	1.065
13:108000001-108500000	13	108000001	108500000	0.931	1.046	1.07	0.933
13:108500001-109000000	13	108500001	109000000	1.022	0.928	0.985	1.05
13:109500001-110000000	13	109500001	110000000	0.955	0.947	1.012	1.008
13:110000001-110500000	13	110000001	110500000	0.937	1.033	1.031	1.037
13:110500001-111000000	13	110500001	111000000	0.892	0.903	0.984	1.001
13:111000001-111500000	13	111000001	111500000	0.964	0.971	0.932	1.1
13:112000001-112500000	13	112000001	112500000	1.046	1.142	1.027	1.2
13:112500001-113000000	13	112500001	113000000	0.93	0.965	1.023	0.987
13:113000001-113500000	13	113000001	113500000	0.977	0.957	0.923	0.938
13:113500001-114000000	13	113500001	114000000	0.982	0.946	1.012	1.02
13:114000001-114364328	13	114000001	114364328	1.041	1.02	0.992	0.986
14:20000001-20500000	14	20000001	20500000	1	1.048	1.08	1.124
14:20500001-21000000	14	20500001	21000000	0.986	1.033	0.913	1.204
14:21000001-21500000	14	21000001	21500000	0.976	0.881	0.954	1.032
14:21500001-22000000	14	21500001	22000000	0.956	1.054	0.982	1.146
14:22000001-22500000	14	22000001	22500000	0.996	1.048	1.087	1.109
14:22500001-23000000	14	22500001	23000000	0.885	1.006	0.948	1.101
14:23500001-24000000	14	23500001	24000000	1.085	1.189	1.081	1.198
14:24000001-24500000	14	24000001	24500000	1.052	1.053	1.006	1.043
14:24500001-25000000	14	24500001	25000000	0.98	1.068	1.013	1.148
14:25000001-25500000	14	25000001	25500000	0.989	1.055	1.056	1.147
14:25500001-26000000	14	25500001	26000000	1.07	1.11	1.141	1.186
14:26000001-26500000	14	26000001	26500000	1.015	1.033	0.996	0.997
14:26500001-27000000	14	26500001	27000000	0.968	0.977	1.008	0.891
14:27000001-27500000	14	27000001	27500000	0.995	1.014	1.01	1.097
14:27500001-28000000	14	27500001	28000000	0.999	1.028	0.983	0.968
14:28000001-28500000	14	28000001	28500000	0.978	0.912	1.019	1.021
14:28500001-29000000	14	28500001	29000000	1.01	0.982	0.989	1.09
14:29000001-29500000	14	29000001	29500000	1	0.975	1.05	0.919
14:29500001-30000000	14	29500001	30000000	1.03	0.906	1.092	0.992
14:30000001-30500000	14	30000001	30500000	0.952	0.955	1.063	1.057
14:30500001-31000000	14	30500001	31000000	0.951	0.922	1.035	1.039
14:31000001-31500000	14	31000001	31500000	0.882	0.983	0.897	0.905
14:31500001-32000000	14	31500001	32000000	0.966	0.994	0.953	1.11
14:32500001-33000000	14	32500001	33000000	1.024	1.04	0.967	0.925
14:33000001-33500000	14	33000001	33500000	1.03	0.983	1.02	1.076
14:33500001-34000000	14	33500001	34000000	1.071	1.154	1.069	1.071
14:34000001-34500000	14	34000001	34500000	0.972	1.055	1.037	1.026
14:35000001-35500000	14	35000001	35500000	0.909	0.907	0.898	0.948
14:35500001-36000000	14	35500001	36000000	0.918	1.021	1.022	0.983
14:36000001-36500000	14	36000001	36500000	1.054	1.014	1.109	0.999
14:36500001-37000000	14	36500001	37000000	0.959	0.997	0.978	1.048
14:37500001-38000000	14	37500001	38000000	0.982	1.022	1.111	0.911
14:38000001-38500000	14	38000001	38500000	0.91	1.02	1.052	1.007
14:38500001-39000000	14	38500001	39000000	0.92	1.002	0.967	1.031
14:39000001-39500000	14	39000001	39500000	1.048	0.861	0.922	0.937
14:39500001-40000000	14	39500001	40000000	0.983	1	1.013	1.074
14:40000001-40500000	14	40000001	40500000	0.867	0.93	1.048	1.068
14:41000001-41500000	14	41000001	41500000	0.903	0.981	0.828	1.026
14:41500001-42000000	14	41500001	42000000	0.945	0.981	1.068	1.037
14:42000001-42500000	14	42000001	42500000	0.982	0.88	0.947	1.115
14:42500001-43000000	14	42500001	43000000	0.948	1.049	0.962	0.952
14:43500001-44000000	14	43500001	44000000	1.037	0.974	0.963	1.076
14:44000001-44500000	14	44000001	44500000	1	1.095	1.045	1.043
14:44500001-45000000	14	44500001	45000000	0.972	1.052	1.021	1.171
14:45500001-46000000	14	45500001	46000000	0.92	0.946	0.966	1.025
14:47000001-47500000	14	47000001	47500000	1.062	1.116	1.03	1.09
14:47500001-48000000	14	47500001	48000000	0.964	1.09	1	1.118
14:48000001-48500000	14	48000001	48500000	1.156	1.019	1.025	1.201
14:48500001-49000000	14	48500001	49000000	0.924	0.991	1.042	0.974
14:49000001-49500000	14	49000001	49500000	1.006	1.023	1.005	1.046
14:49500001-50000000	14	49500001	50000000	0.899	0.907	0.916	0.916
14:50000001-50500000	14	50000001	50500000	0.908	0.855	0.899	0.992
14:50500001-51000000	14	50500001	51000000	0.966	0.963	1.009	0.932
14:51000001-51500000	14	51000001	51500000	1.11	1.019	1.018	1.059
14:52000001-52500000	14	52000001	52500000	1.031	1.091	1.026	0.95
14:52500001-53000000	14	52500001	53000000	0.934	0.969	0.997	0.852
14:53000001-53500000	14	53000001	53500000	0.983	1.001	1.009	1
14:53500001-54000000	14	53500001	54000000	1.028	0.946	1.085	0.901
14:54000001-54500000	14	54000001	54500000	0.976	1.132	1.066	0.923
14:54500001-55000000	14	54500001	55000000	0.908	0.904	1.051	0.909
14:55000001-55500000	14	55000001	55500000	0.991	0.98	1.009	0.911
14:55500001-56000000	14	55500001	56000000	1.086	1.006	1.044	0.8
14:56000001-56500000	14	56000001	56500000	0.965	0.988	1.113	0.904
14:56500001-57000000	14	56500001	57000000	1.027	0.913	1.094	0.964
14:57000001-57500000	14	57000001	57500000	0.98	0.904	0.965	1.004
14:57500001-58000000	14	57500001	58000000	1.081	1.033	1.099	1.091
14:58000001-58500000	14	58000001	58500000	0.981	0.981	0.867	0.801
14:58500001-59000000	14	58500001	59000000	0.991	0.957	0.967	0.903
14:59000001-59500000	14	59000001	59500000	1.011	1.002	1.027	0.829
14:59500001-60000000	14	59500001	60000000	0.988	1.086	0.972	0.925
14:60000001-60500000	14	60000001	60500000	0.956	0.972	0.929	0.939
14:60500001-61000000	14	60500001	61000000	1.067	1.058	0.996	0.883
14:61000001-61500000	14	61000001	61500000	1.08	0.968	1.051	0.871
14:61500001-62000000	14	61500001	62000000	0.968	1.045	1.072	0.85
14:62000001-62500000	14	62000001	62500000	1.004	0.949	1.006	0.932
14:62500001-63000000	14	62500001	63000000	1.045	1.124	1.099	0.945
14:63000001-63500000	14	63000001	63500000	0.995	1.032	1.012	0.874
14:63500001-64000000	14	63500001	64000000	0.861	0.875	0.991	0.904
14:64000001-64500000	14	64000001	64500000	1.073	1.052	1.008	0.865
14:64500001-65000000	14	64500001	65000000	0.975	0.992	0.993	0.924
14:65000001-65500000	14	65000001	65500000	0.994	0.97	0.96	0.897
14:65500001-66000000	14	65500001	66000000	1.008	1.003	1.056	0.929
14:66000001-66500000	14	66000001	66500000	1.007	1.05	1.13	0.919
14:66500001-67000000	14	66500001	67000000	0.926	1.016	1.093	0.934
14:67000001-67500000	14	67000001	67500000	0.995	1.038	0.945	0.956
14:67500001-68000000	14	67500001	68000000	0.918	0.979	1.026	0.926
14:68000001-68500000	14	68000001	68500000	1.002	1.101	1.103	0.866
14:68500001-69000000	14	68500001	69000000	0.903	0.887	0.937	0.94
14:69000001-69500000	14	69000001	69500000	0.947	0.861	0.97	0.854
14:69500001-70000000	14	69500001	70000000	0.906	0.936	0.941	0.849
14:70000001-70500000	14	70000001	70500000	1.026	1.129	1.084	1.07
14:70500001-71000000	14	70500001	71000000	1.01	1.047	1.069	0.966
14:71000001-71500000	14	71000001	71500000	0.969	0.968	1.072	1.081
14:71500001-72000000	14	71500001	72000000	1.007	0.929	1.113	0.999
14:72000001-72500000	14	72000001	72500000	0.964	1.077	1.12	1.023
14:72500001-73000000	14	72500001	73000000	1.028	0.951	1	0.979
14:73000001-73500000	14	73000001	73500000	0.917	1.012	0.947	0.875
14:73500001-74000000	14	73500001	74000000	0.959	0.894	0.88	0.818
14:74000001-74500000	14	74000001	74500000	1.006	1.05	1.034	1.064
14:74500001-75000000	14	74500001	75000000	1.027	0.969	0.956	0.96
14:75000001-75500000	14	75000001	75500000	0.926	0.977	0.915	0.96
14:75500001-76000000	14	75500001	76000000	0.879	0.982	1.033	0.891
14:76000001-76500000	14	76000001	76500000	1	0.984	1.042	1.034
14:76500001-77000000	14	76500001	77000000	1.001	0.996	1.016	1.078
14:77000001-77500000	14	77000001	77500000	0.936	0.955	0.954	1.018
14:77500001-78000000	14	77500001	78000000	0.896	0.901	0.967	1.086
